defined_class	structure
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/1874889854
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/405925948
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/495844982
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/793188683
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/1794398084
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/278512890
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/1867012554
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/1278239861
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/338611549
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/294830867
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/1233939003
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/150502901
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/1019379329
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/1929433903
http://id.who.int/icd/entity/1789365017	http://id.who.int/icd/entity/555410497
http://id.who.int/icd/entity/556694745	http://id.who.int/icd/entity/1571232890
http://id.who.int/icd/entity/576915490	http://id.who.int/icd/entity/644658903
http://id.who.int/icd/entity/1831985718	http://id.who.int/icd/entity/68679181
http://id.who.int/icd/entity/1389818830	http://id.who.int/icd/entity/1874889854
http://id.who.int/icd/entity/1360101629	http://id.who.int/icd/entity/495844982
http://id.who.int/icd/entity/446199613	http://id.who.int/icd/entity/870135798
http://id.who.int/icd/entity/1407133273	http://id.who.int/icd/entity/644658903
http://id.who.int/icd/entity/1407133273	http://id.who.int/icd/entity/644658903
http://id.who.int/icd/entity/2021370201	http://id.who.int/icd/entity/405925948
http://id.who.int/icd/entity/539470158	http://id.who.int/icd/entity/256640543
